;STD6310;STD6300;STD6300_VD;STD6310_VD
33_Salmonella enterica;133;3643;3345;114
21_Enterobacteriaceae sp.;2;15;32;0
28_Escherichia coli;135;2508;2501;118
152_ Serratia sp.;4;0;0;0
7_Aeromonas sp.;0;648;372;9
251_Moraxella sp.;1;0;0;0
68_Acinetobacter sp.;0;0;0;1
26_Pseudomonas aeruginosa;2325;536;518;2686
88_Comamonas sp.;0;0;0;1
484_Simplicispira sp.;0;0;0;2
12_Rhizobiaceae sp.;0;0;2;0
125_Ochrobactrum sp.;0;0;2;0
29_Bacillus subtilis;413;2465;2775;871
709_Bacillus subtilis;0;23;76;0
472_Fermentibacillus polygoni;1;50;44;62
8_Listeria monocytogenes;9582;380;197;8671
442_Brochothrix sp.;3;51;20;46
571_Bacillus subtilis;0;110;77;0
50_Limosilactobacillus;17;1416;1625;6
664_Listeria monocytogenes;0;37;12;0
131_ Staphylococcus aureus;20;469;408;0
72_Enterococcus;1;286;620;0
168_Faecalibacterium sp.;0;0;0;1
4_Proteocatella sp.;0;0;3;0
163_metagenome;0;0;2;0
3_Arcobacter sp.;0;0;3;25
53_Arcobacter sp.;0;0;0;5
211_Prevotellaceae sp.;0;0;0;4
1_Bacteroides sp.;0;0;0;11
138_Cloacibacterium sp.;0;0;2;0
